,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,PTYPE,LU,OWN_OCC,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,ST_ADDRESS,SALE_PRICE
387,1694,CENTRE,ST,2132,101,R1,Y,143800,350900,494700,518446,4470.0,1926.0,0.0,3220,1912,2.0,R,CL,H,W,9,4,1,2,M,S,S,1,S,,,W,N,0,A,A,A,N,G,1694 centre st,560000
388,17,BATESWELL,RD,2124,101,R1,Y,142200,242600,384800,403271,4930.0,1920.0,0.0,2187,1377,2.0,R,CL,H,M,7,4,1,1,S,S,,1,S,,,W,N,0,A,A,A,N,F,17 bateswell rd,499000
389,17,BRIGHTON,ST,2129,104,R2,N,135300,315300,450600,472229,2807.0,1885.0,1995.0,2902,1740,3.0,R,CV,M,M,11,5,3,0,M,M,M,2,M,M,,W,N,0,A,A,G,N,A,17 brighton st,850000
390,17,CARROLL,ST,2132,101,R1,Y,127300,352400,479700,502726,4300.0,1932.0,1970.0,2558,1448,2.0,R,CL,L,M,6,3,1,1,M,S,,1,M,,,W,N,1,A,A,G,N,A,17 carroll st,641000
391,17,CROWELL,ST,2124,105,R3,N,149900,329700,479600,502621,4370.0,1905.0,1989.0,5296,3396,3.0,R,DK,F,M,15,9,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,17 crowell st,542500
392,17,DANNY,RD,2136,101,R1,Y,112560,487200,599760,628549,4000.0,2014.0,,4028,2250,2.0,R,CL,G,C,7,3,2,1,M,M,M,1,M,,,F,C,0,G,G,G,N,A,17 danny rd,615000
393,17,HAYNES,ST,2128,101,R1,Y,96200,279900,376100,394153,875.0,1900.0,0.0,1698,893,1.5,R,RM,G,F,4,2,2,0,M,M,,1,M,,,W,N,0,A,A,G,N,A,17 haynes st,485000
394,17,KERSHAW,RD,2132,101,R1,Y,114600,259300,373900,391848,2837.0,1984.0,0.0,2644,1596,2.0,R,RM,G,V,6,3,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,17 kershaw rd,390000
395,17,MORRIS,ST,2128,105,R3,N,147300,329500,476800,499686,1625.0,1900.0,0.0,3795,2841,3.0,R,DK,F,M,14,6,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,17 morris st,650000
396,17,PLEASANT,ST,2125,105,R3,N,175200,621000,796200,834418,3860.0,1900.0,2014.0,6076,3981,3.0,R,DK,F,M,18,9,3,3,M,M,M,3,M,M,M,W,C,0,A,A,G,N,A,17 pleasant st,1300000
397,17,RAVEN,ST,2125,105,R3,N,139300,380500,519800,544750,2244.0,1905.0,0.0,5111,3402,3.0,R,DK,F,A,15,9,3,0,S,S,S,3,S,S,S,S,N,0,A,A,A,N,A,17 raven st,340762
398,17,W CEDAR,ST,2108,101,R1,Y,1423000,2269200,3692200,3869426,1806.0,1839.0,2016.0,4660,3824,4.0,R,RM,M,B,9,4,3,2,L,M,M,1,L,,,W,C,4,A,G,G,N,A,17 w cedar st,5200000
399,17,WALL,ST,2129,101,R1,N,221200,634100,855300,896354,794.0,1875.0,1998.0,1636,1443,2.0,R,RM,F,F,8,2,2,0,M,M,,1,M,,,F,C,1,G,G,G,N,A,17 wall st,920000
400,17,WENTWORTH,ST,2124,104,R2,N,105400,241600,347000,363656,2484.0,1885.0,0.0,3990,2570,2.5,R,CV,G,M,12,6,2,1,S,S,S,2,M,S,,F,N,0,A,A,A,N,A,17 wentworth st,238875
401,170,ENDICOTT,ST,2113,105,R3,N,405500,813100,1218600,1277093,981.0,1910.0,1991.0,4250,3400,4.0,R,RM,F,B,15,6,3,0,S,S,S,3,S,S,S,F,N,0,A,A,F,N,A,170 endicott st,1620000
402,171,EVERETT,ST,2128,101,R1,N,95600,178500,274100,287257,940.0,1920.0,0.0,960,936,1.0,R,CP,G,M,5,3,2,0,S,S,,1,S,,,E,N,1,A,A,A,N,A,171 everett st,220000
403,171,LAGRANGE,ST,2132,101,R1,Y,156600,297400,454000,475792,5430.0,1938.0,2006.0,1861,1152,2.0,R,CL,G,M,6,3,1,0,M,,,1,M,,,W,N,1,A,G,G,N,A,171 lagrange st,560000
404,1724,RIVER,ST,2136,101,R1,Y,133100,219100,352200,369106,5795.0,1963.0,2011.0,2909,1252,1.0,R,RN,G,W,6,3,2,0,M,M,,1,M,,,W,N,1,A,A,G,N,A,1724 river st,342500
405,173,HACKENSACK,RD,2467,101,R1,Y,134800,397500,532300,557851,4444.0,1960.0,2015.0,2284,1326,2.0,R,CL,G,M,7,3,1,1,M,M,,1,M,,,W,N,1,G,G,G,N,A,173 hackensack rd,675000
406,176,MARION,ST,2128,105,R3,N,110800,286600,397400,416475,1001.0,1900.0,2014.0,2724,1918,3.0,R,SD,F,M,11,3,3,0,S,S,S,3,M,S,S,W,N,0,A,A,A,N,A,176 marion st,490000
407,179,LAGRANGE,ST,2132,101,R1,Y,156500,335500,492000,515616,5056.0,1910.0,2009.0,2712,1616,2.0,R,CL,G,M,7,3,1,1,M,M,,1,M,,,W,N,1,A,G,G,N,A,179 lagrange st,555000
408,18,ARMANDINE,ST,2124,104,R2,N,151640,240125,391765,410570,6000.0,1910.0,1989.0,4638,2902,2.5,R,CV,G,M,11,5,3,0,S,M,M,2,S,M,,F,N,0,A,A,A,N,A,18 armandine st,415000
409,18,ASHMONT,ST,2124,105,R3,N,138663,438309,576972,604667,3448.0,1900.0,2016.0,6354,4124,2.5,R,CV,G,A,20,8,4,0,M,M,N,3,M,M,S,F,N,0,A,A,G,N,A,18 ashmont st,625000
410,18,BALSAM,ST,2124,101,R1,Y,86300,207700,294000,308112,2300.0,1991.0,0.0,1404,1350,2.0,R,SD,H,M,5,3,2,0,M,M,,1,M,,,W,N,0,G,G,G,N,A,18 balsam st,280000
411,18,CHASE,ST,2125,105,R3,N,156500,543900,700400,734019,3089.0,1905.0,2015.0,5325,3519,3.0,R,DK,F,M,17,8,3,0,M,M,M,3,M,M,S,F,N,0,G,A,A,N,A,18 chase st,872500
412,18,CHELSEA,ST,2128,105,R3,N,117600,466900,584500,612556,1150.0,1900.0,2016.0,3509,2400,3.0,R,SD,F,M,11,5,3,0,M,M,M,3,M,M,M,F,C,0,G,G,G,N,A,18 chelsea st,515000
413,18,CORDIS,ST,2129,104,R2,Y,313500,1049400,1362900,1428320,2400.0,1860.0,0.0,5122,3509,3.0,R,RE,F,B,12,6,3,1,S,N,S,2,N,S,,W,N,0,A,A,A,N,A,18 cordis st,1820000
414,18,EGLESTON,ST,2130,105,R3,N,176200,501200,677400,709915,3420.0,1900.0,,5520,3692,2.5,R,CV,G,M,17,8,3,0,N,N,N,3,N,N,N,W,N,0,G,A,A,N,F,18 egleston st,1180000
415,18,FAIRFIELD,ST,2116,101,R1,Y,1002200,2898100,3900300,4087515,1359.0,1870.0,2009.0,4589,4057,3.5,R,RM,M,B,9,4,4,1,M,M,M,1,M,,,F,C,6,G,G,G,E,A,18 fairfield st,3220000
416,18,FRANCLAIRE,DR,2132,101,R1,Y,121800,305200,427000,447496,3360.0,1970.0,0.0,2526,1536,2.0,R,CL,G,M,7,4,1,1,N,N,,1,S,,,W,N,1,A,A,A,N,A,18 franclaire dr,455000
417,18,GRANT,ST,2125,101,R1,N,114100,399500,513600,538253,2453.0,1989.0,,2248,1408,2.0,R,SD,G,F,9,4,2,1,M,M,M,1,M,,,F,N,0,A,G,G,N,A,18 grant st,620000
418,18,HEMMAN,ST,2131,101,R1,Y,133600,272500,406100,425593,4856.0,1936.0,1998.0,2068,1346,2.0,R,CL,H,M,6,2,1,0,S,,,1,S,,,W,N,1,A,A,A,N,A,18 hemman st,460000
419,18,HILLIS,RD,2136,101,R1,Y,105800,220900,326700,342382,4060.0,1910.0,0.0,2319,1418,2.0,R,CL,H,M,6,3,1,0,S,,,1,S,,,W,N,0,G,A,A,N,A,18 hillis rd,243000
420,18,KEANE,RD,2132,101,R1,Y,150300,250700,401000,420248,6023.0,1955.0,0.0,2444,1042,1.0,R,CP,G,M,5,2,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,18 keane rd,551000
421,18,MANSFIELD,ST,2134,101,R1,N,127200,323000,450200,471810,2520.0,1890.0,0.0,2784,1819,2.5,R,SD,H,M,8,4,1,1,N,S,,1,N,,,F,N,1,A,A,A,N,F,18 mansfield st,342000
422,18,PINE RIDGE,RD,2126,101,R1,Y,137200,340400,477600,500525,6122.0,1920.0,2015.0,3400,1900,2.0,R,CL,G,M,9,4,1,1,M,M,,1,M,,,W,N,0,A,G,G,N,A,18 pine ridge rd,525000
423,18,PLAIN,ST,2122,101,R1,N,256300,345000,601300,630162,18807.0,1820.0,0.0,4024,2381,1.5,R,CV,G,W,12,6,2,0,S,S,,1,S,,,W,N,0,A,A,A,N,A,18 plain st,500000
